STT;CODE;Đã thuộc;SENTENCE;MEANING
37;#WFD0752;FALSE;An effective business manager is always open to new ideas.;Một nhà quản lý kinh doanh hiệu quả luôn cởi mở với những ý tưởng mới.
38;#WFD0765;FALSE;New media journalism is an exciting area of study.;Báo chí truyền thông mới là một lĩnh vực nghiên cứu thú vị.
39;#WFD0777;FALSE;A new collection of articles has just been published.;Một tuyển tập các bài báo mới vừa được xuất bản.
40;#WFD0782;FALSE;Students are encouraged to monitor their own attendance.;Sinh viên được khuyến khích tự theo dõi việc đi học của mình.
41;#WFD0788;FALSE;The content is to define the combination of Math and Philosophy.;Nội dung nhằm định nghĩa sự kết hợp giữa Toán học và Triết học.
42;#WFD0790;FALSE;The railway makes long-distance travel possible for everyone.;Đường sắt giúp việc đi lại đường dài trở nên khả thi đối với mọi người.
43;#WFD0801;FALSE;Air pollution is a serious problem all over the world.;Ô nhiễm không khí là một vấn đề nghiêm trọng trên toàn thế giới.
44;#WFD0802;FALSE;Protective clothing must always be worn in the laboratory.;Quần áo bảo hộ phải luôn được mặc trong phòng thí nghiệm.
45;#WFD0811;FALSE;There is a widely believed perception that engineering is for boys.;Có một quan niệm phổ biến cho rằng ngành kỹ thuật chỉ dành cho nam giới.
46;#WFD0824;FALSE;Plants are able to continue growing throughout their lives.;Thực vật có khả năng tiếp tục sinh trưởng trong suốt vòng đời của chúng.
47;#WFD0840;FALSE;Rising inflation may indicate an increase in the demand for consumer products.;Lạm phát gia tăng có thể cho thấy nhu cầu đối với các sản phẩm tiêu dùng đang tăng lên.
48;#WFD0889;FALSE;You should provide examples to support your ideas and arguments.;Bạn nên đưa ra các ví dụ để minh họa cho các ý tưởng và lập luận của mình.
49;#WFD0970;FALSE;Animals raised in captivity behave differently than their wild counterparts.;Các loài động vật được nuôi nhốt có hành vi khác biệt so với các cá thể cùng loài sống trong tự nhiên.
50;#WFD0992;FALSE;Optional tutorials are offered in the final week of the term.;Các buổi hướng dẫn tùy chọn được tổ chức vào tuần cuối cùng của học kỳ.
51;#WFD1037;FALSE;The use of mobile phones is not permitted in the library.;Việc sử dụng điện thoại di động không được phép trong thư viện.
52;#WFD1039;FALSE;Parents' talk to children tends to be simplified.;Cách cha mẹ nói chuyện với con cái thường được đơn giản hóa.
53;#WFD1096;FALSE;It is really a comprehensive program covering both theory and practice.;Đây thực sự là một chương trình toàn diện, bao quát cả lý thuyết lẫn thực hành.
54;#WFD1104;FALSE;Students are encouraged to think carefully about their accommodation needs.;Sinh viên được khuyến khích suy nghĩ kỹ lưỡng về nhu cầu chỗ ở của mình.
55;#WFD1121;FALSE;The business policy seminar includes an internship with a local firm.;Hội thảo về chính sách kinh doanh bao gồm một kỳ thực tập tại một doanh nghiệp địa phương.
56;#WFD1140;FALSE;The lecture tomorrow will discuss the educational policy of the United States.;Buổi diễn thuyết ngày mai sẽ thảo luận về chính sách giáo dục của Hoa Kỳ.
57;#WFD1143;FALSE;He wrote poetry and plays as well as scientific papers.;Ông đã viết thơ và kịch, cũng như các bài báo khoa học.
58;#WFD1145;FALSE;Consumer confidence has a direct influence on sales.;Niềm tin của người tiêu dùng có ảnh hưởng trực tiếp đến doanh số bán hàng.
59;#WFD1153;FALSE;Food that contains antibiotics provides little or no nutritional value.;Thực phẩm chứa kháng sinh mang lại rất ít hoặc không có giá trị dinh dưỡng.
60;#WFD1159;FALSE;Lecture outlines are available on the college internal website.;Đề cương bài giảng có sẵn trên trang web nội bộ của trường.
61;#WFD1163;FALSE;Distance learning allows you to develop a career around your commitments;Học từ xa cho phép bạn phát triển sự nghiệp phù hợp với các cam kết của bản thân.
62;#WFD1185;FALSE;Classical mechanics is sometimes considered as a branch of applied mathematics;Cơ học cổ điển đôi khi được xem là một nhánh của toán học ứng dụng.
63;#WFD1193;FALSE;A group meeting will be held tomorrow in the library conference room;Một cuộc họp nhóm sẽ được tổ chức vào ngày mai tại phòng hội nghị thư viện.
64;#WFD1198;FALSE;The key difference between courses is the kind of assessment.;Sự khác biệt then chốt giữa các khóa học nằm ở hình thức đánh giá.
65;#WFD1207;FALSE;Please note that the seminar has now been canceled;Xin lưu ý rằng buổi hội thảo hiện đã bị hủy.
66;#WFD1208;FALSE;The celebrated theory is still the source of great controversy.;Lý thuyết lừng danh này vẫn là nguồn gốc của những tranh cãi gay gắt.
67;#WFD1225;FALSE;Education and training provide important skills for the labor force;Giáo dục và đào tạo cung cấp những kỹ năng quan trọng cho lực lượng lao động.
68;#WFD1228;FALSE;You will acquire many skills during the academic studies;Bạn sẽ tiếp thu được nhiều kỹ năng trong suốt quá trình học tập tại trường đại học.
69;#WFD1285;FALSE;An introduction is an essential element of presentation;Phần mở đầu là một yếu tố thiết yếu của bài thuyết trình.
70;#WFD1299;FALSE;They developed a unique approach to training their employees.;Họ đã phát triển một phương pháp độc đáo để đào tạo nhân viên của mình.
71;#WFD1315;FALSE;Organizational failure is considered from various perspectives in academic literature;Sự thất bại của tổ chức được xem xét từ nhiều góc độ khác nhau trong tài liệu học thuật.
72;#WFD1328;FALSE;New media have transcended traditional national boundaries.;Truyền thông mới đã vượt qua các ranh giới quốc gia truyền thống.
73;#WFD1339;FALSE;All of your assignments are due by tomorrow.;Tất cả các bài tập của bạn đều phải nộp trước ngày mai.
74;#WFD1340;FALSE;The academic strength of the early Roman Republic will be examined.;Thế mạnh học thuật của giai đoạn đầu Cộng hòa La Mã sẽ được xem xét.
75;#WFD1344;FALSE;Those who are considering a career in marketing should attend the talk;Những ai đang cân nhắc theo đuổi sự nghiệp trong lĩnh vực marketing nên tham dự buổi nói chuyện này.
76;#WFD1401;FALSE;Building trust is not something that can be achieved overnight.;Xây dựng lòng tin không phải là điều có thể đạt được chỉ sau một đêm.
77;#WFD1407;FALSE;The other book isn't thorough, but it's more insightful.;Cuốn sách kia không toàn diện, nhưng lại sâu sắc hơn.
78;#WFD1411;FALSE;The director of the gallery was grateful for the anonymous donation.;Giám đốc phòng trưng bày rất biết ơn đối với khoản quyên góp ẩn danh.
79;#WFD1433;FALSE;The dance department stages elaborated performances each semester.;Khoa Múa dàn dựng các buổi biểu diễn công phu vào mỗi học kỳ.
80;#WFD1434;FALSE;The ability to work with fellow students cannot be stressed enough.;Khả năng làm việc cùng các bạn học không thể được nhấn mạnh quá mức.
81;#WFD1446;FALSE;Despite their differences, all forms of life share certain characteristics.;Bất chấp những khác biệt, mọi dạng sống đều chia sẻ một số đặc điểm nhất định.
82;#WFD1522;FALSE;Make sure you choose a course that provides great career opportunities.;Hãy đảm bảo rằng bạn chọn một khóa học mang lại những cơ hội nghề nghiệp tuyệt vời.
83;#WFD1535;FALSE;Many university lectures can now be viewed on the Internet.;Nhiều bài giảng đại học hiện nay có thể được xem trên Internet.
84;#WFD1591;FALSE;Strangely, people are simultaneously impressed by and skeptical about statistics.;Hội sinh viên tổ chức nhiều hoạt động xã hội đa dạng.
85;#WFD1592;FALSE;Students must wear protective clothing that is provided in the medical laboratory.;Sinh viên phải mặc trang phục bảo hộ được cung cấp tại phòng thí nghiệm y tế.
86;#WFD1620;FALSE;All industries are a system of inputs, processes, outputs and feedback.;Mọi ngành công nghiệp đều là một hệ thống bao gồm đầu vào, quy trình, đầu ra và phản hồi.
87;#WFD1621;FALSE;Our view is that educational reforms have been inadequately implemented.;Trình độ học vấn được phát hiện là có liên quan đến hoàn cảnh xã hội và kinh tế.
88;#WFD1622;FALSE;Most scientists believe that climate change threatens the lives on earth.;Hầu hết các nhà khoa học tin rằng biến đổi khí hậu đe dọa sự sống trên Trái Đất.
89;#WFD1625;FALSE;The economic status of the early Roman Republic will be examined.;Tình hình kinh tế của giai đoạn đầu Cộng hòa La Mã sẽ được xem xét.
90;#WFD1626;FALSE;He landed a job in a very prestigious law firm.;Quan điểm của chúng tôi là các cải cách giáo dục đã được thực hiện chưa đầy đủ.
91;#WFD1632;FALSE;Photography can be very useful to geographical research.;Nhiếp ảnh có thể rất hữu ích đối với nghiên cứu địa lý.
92;#WFD1639;FALSE;We encourage students to complete their applications before the deadline.;Dựa vào năng khiếu tự nhiên sẽ không giúp bạn tiến xa trong khoa học.
93;#WFD1644;FALSE;The college operates a system of continuous assessments.;Trường vận hành một hệ thống đánh giá liên tục.
94;#WFD1651;FALSE;A professor took one year off to work on her book.;Một giáo sư đã nghỉ một năm để viết sách của bà ấy.
95;#WFD1656;FALSE;A good academic paper should present a clear argument.;Một bài báo học thuật tốt nên trình bày một lập luận rõ ràng.
96;#WFD1657;FALSE;Studies showed there is a positive correlation between the two variables.;Các nghiên cứu đã chỉ ra rằng có mối tương quan thuận giữa hai biến số này.
97;#WFD1662;FALSE;It may not be possible to solve the problem easily.;Có thể không dễ để giải quyết vấn đề này.
98;#WFD1670;FALSE;The department has a higher-than-normal proportion of postgraduate students.;Khoa có tỷ lệ học viên sau đại học cao hơn mức bình thường.
99;#WFD1672;FALSE;Listening is the key skill needed to succeed in this course.;Kỹ năng nghe là kỹ năng then chốt cần thiết để thành công trong môn học này.
100;#WFD1673;FALSE;A mixture is defined as a compound of chemically separate parts.;Hỗn hợp được định nghĩa là sự kết hợp của các thành phần tách biệt về mặt hóa học.
101;#WFD1679;FALSE;Salt is produced from seawater or extracted from the ground.;Muối được sản xuất từ nước biển hoặc được khai thác từ lòng đất.
102;#WFD1680;FALSE;Farmers need to adapt to the changes in climate.;Người nông dân cần thích nghi với những thay đổi của khí hậu.
103;#WFD1681;FALSE;Currently the growth of the economy is unpredictable.;Hiện nay, sự tăng trưởng của nền kinh tế là không thể dự đoán trước.
104;#WFD1682;FALSE;The application processes may take longer than expected.;Quy trình nộp đơn có thể mất nhiều thời gian hơn dự kiến.
105;#WFD1684;FALSE;Honey can be used as food and a health product.;Mật ong có thể được sử dụng như thực phẩm và sản phẩm chăm sóc sức khỏe.
106;#WFD1689;FALSE;While some people regard it as reforming zeal, others regard it as recklessness.;Trong khi một số người coi đó là nhiệt huyết cải cách, thì những người khác lại coi đó là sự liều lĩnh.
107;#WFD1692;FALSE;Your ideas are discussed and debated in seminars and tutorials.;Ý tưởng của bạn được thảo luận và tranh luận trong các buổi hội thảo và lớp hướng dẫn.
108;#WFD1706;FALSE;Remember, the prestigious election of stewardship has strict eligibility criteria.;Hãy nhớ rằng việc tuyển chọn vào ban quản lý danh giá này có các tiêu chí đủ điều kiện rất nghiêm ngặt.
109;#WFD1709;FALSE;Request for late applications will not be accepted under any circumstances.;Chúng tôi sẽ không chấp nhận bất kỳ yêu cầu nộp đơn muộn nào trong bất kỳ trường hợp nào.
110;#WFD1719;FALSE;We have a great deal of debate on that topic.;Chúng tôi có rất nhiều tranh luận về chủ đề đó.
111;#WFD1722;FALSE;The commissioner will apportion the funds among all the authorities.;Ủy viên sẽ phân bổ ngân quỹ cho tất cả các cơ quan chức năng.
112;#WFD1725;FALSE;Population has a sharp rise in the recent twenty years.;Dân số đã gia tăng mạnh mẽ trong 20 năm gần đây.
113;#WFD1728;FALSE;You must be able to work in a team.;Bạn phải có khả năng làm việc theo nhóm.
114;#WFD1729;FALSE;Some people believe that education should be free to everyone.;Một số người tin rằng giáo dục nên miễn phí cho tất cả mọi người.
115;#WFD1731;FALSE;Computers used to be larger than they are now;Máy tính ngày xưa từng lớn hơn bây giờ.
116;#WFD1734;FALSE;Social psychology is concerned with the understanding of human behaviors.;Tâm lý học xã hội liên quan đến việc tìm hiểu hành vi của con người.
117;#WFD1737;FALSE;It is important to plan your study time carefully.;Việc lên kế hoạch cho thời gian học tập một cách cẩn thận là rất quan trọng.
118;#WFD1767;FALSE;Muscles bring parts of the body close together.;Các cơ kéo các bộ phận của cơ thể lại gần nhau.
119;#WFD1782;FALSE;When the root system of a plant fails, foliage suffers.;Khi hệ rễ của cây bị tổn hại, tán lá cũng sẽ bị ảnh hưởng.
120;#WFD1803;FALSE;The Industrial Revolution in Europe was driven by steam technology.;Cuộc Cách mạng Công nghiệp ở châu Âu được thúc đẩy bởi công nghệ hơi nước.
121;#WFD1877;FALSE;The educational level is found to be related to social and economic background.;Mức độ học vấn được nhận thấy có mối liên hệ với nền tảng kinh tế và xã hội.
122;#WFD1897;FALSE;Check the website if you are looking for discounted textbooks;Hãy truy cập trang web nếu bạn đang tìm kiếm sách giáo khoa giảm giá.
123;#WFD1898;FALSE;Farming methods across the world have greatly developed recently;Các phương pháp canh tác trên khắp thế giới đã phát triển mạnh mẽ trong thời gian gần đây.
124;#WFD1899;FALSE;Football is played throughout all years at the university.;Bóng đá được chơi suốt cả năm tại trường đại học.
125;#WFD1900;FALSE;Mathematics provides a foundation for understanding and analyzing data.;Toán học cung cấp nền tảng để hiểu và phân tích dữ liệu.
126;#WFD1904;FALSE;Take the first step by applying for a university scholarship now;Hãy thực hiện bước đầu tiên bằng cách nộp đơn xin học bổng đại học ngay bây giờ.
127;#WFD1908;FALSE;The office hours will change next term;Giờ làm việc của văn phòng sẽ thay đổi vào học kỳ tới.
128;#WFD1911;FALSE;The studies showed the Hong Kong people are the most active in Asia;Các nghiên cứu cho thấy người dân Hồng Kông là những người năng động nhất tại châu Á.
129;#WFD1913;FALSE;There is probably life in the other planets in the universe;Có lẽ có sự sống trên các hành tinh khác trong vũ trụ.
130;#WFD1914;FALSE;Undoubtedly, this theory has a number of limitations;Không còn nghi ngờ gì nữa, lý thuyết này có một số hạn chế.
131;#WFD1915;FALSE;Unemployment rate has fallen to its lowest level in years;Tỷ lệ thất nghiệp đã giảm xuống mức thấp nhất trong nhiều năm.
132;#WFD1918;FALSE;We are looking for new ways to engage learners;Chúng tôi đang tìm kiếm những phương thức mới để thu hút người học.
133;#WFD1919;FALSE;We can’t consider any increase in our price at this stage;Chúng tôi không thể xem xét bất kỳ sự tăng giá nào vào giai đoạn này.
134;#WFD1920;FALSE;When attending a job interview, punctuality is the key;Khi tham dự phỏng vấn xin việc, sự đúng giờ là yếu tố then chốt.
135;#WFD1922;FALSE;You can use your laptops in the lecture.;Bạn có thể sử dụng máy tính xách tay trong buổi giảng.
136;#WFD1924;FALSE;There was a prize for the best student presentation;Có một giải thưởng dành cho bài thuyết trình xuất sắc nhất của sinh viên.
137;#WFD1926;FALSE;The teacher training course includes observing the classes;Khóa đào tạo giáo viên bao gồm việc dự giờ các lớp học.
138;#WFD1932;FALSE;Several candidates would be qualified as the greatest scientists of all time;Một số ứng viên sẽ đủ tiêu chuẩn để được coi là những nhà khoa học vĩ đại nhất mọi thời đại.
139;#WFD1936;FALSE;Please make sure you have correctly cited all the necessary materials;Hãy đảm bảo rằng bạn đã trích dẫn chính xác tất cả các tài liệu cần thiết
140;#WFD1940;FALSE;Mature students usually adapt to university life extremely well;Những sinh viên lớn tuổi thường thích nghi với đời sống đại học cực kỳ tốt.
141;#WFD1941;FALSE;Library plays an important role in students' lives;Thư viện đóng một vai trò quan trọng trong đời sống của học sinh.
142;#WFD1944;FALSE;All of the assignments must be submitted in person to the faculty office;Tất cả các bài tập phải được nộp trực tiếp tại văn phòng khoa.
143;#WFD1945;FALSE;The science library is currently located on the ground floor of the library;Thư viện Khoa học hiện nằm tại tầng trệt của thư viện.
144;#WFD1949;FALSE;Class participation is an important part of your final grade;Việc tham gia lớp học là một phần quan trọng trong điểm số cuối cùng của bạn.
145;#WFD1954;FALSE;Chemical reactions occur when substances combine or change;Các phản ứng hóa học xảy ra khi các chất kết hợp hoặc biến đổi.
146;#WFD1955;FALSE;Course work gives students the chances to thoroughly explore the subject;Các bài tập môn học mang lại cho sinh viên cơ hội khám phá môn học một cách thấu đáo.
147;#WFD1956;FALSE;It is quite clear that our facial expressions are different across the world;Rõ ràng là các biểu cảm trên khuôn mặt của chúng ta có sự khác biệt trên khắp thế giới.
148;#WFD1963;FALSE;You can find the complaint form on the website;Bạn có thể tìm thấy mẫu đơn khiếu nại trên trang web.
149;#WFD1966;FALSE;The course includes a combination of pure and applied mathematics.;Khóa học bao gồm sự kết hợp giữa toán học thuần túy và toán học ứng dụng.
150;#WFD1967;FALSE;Sugar is a compound including carbon, oxygen, and hydrogen atoms;Đường là một hợp chất bao gồm các nguyên tử carbon, oxygen và hydrogen.
151;#WFD1970;FALSE;Marine environments have been destroyed through pollution and unsustainable development;Môi trường biển đã bị tàn phá bởi ô nhiễm và sự phát triển không bền vững.
152;#WFD1973;FALSE;All experimental procedures are outlined in the laboratory manual;Tất cả các quy trình thực nghiệm đều được trình bày trong sổ tay thực hành.
153;#WFD1986;FALSE;Students are advised that the lecture today has been canceled;Các sinh viên được thông báo rằng buổi giảng hôm nay đã bị hủy.
154;#WFD1988;FALSE;One of the election promises is to decrease income taxes;Một trong những lời hứa tranh cử là giảm thuế thu nhập.
155;#WFD1990;FALSE;The elective course introduces engineering students to construction practices and concepts;Môn học tự chọn này giới thiệu cho sinh viên ngành kỹ thuật về các phương pháp và khái niệm trong thực hành xây dựng.
156;#WFD1999;FALSE;Having enough sleep has many positive benefits;Ngủ đủ giấc mang lại nhiều lợi ích tích cực.
157;#WFD2001;FALSE;Much of this research is carried out in the laboratory;Phần lớn nghiên cứu này được thực hiện trong phòng thí nghiệm.
158;#WFD2004;FALSE;Plants are the living things that can grow on land or in water;Thực vật là những sinh vật sống có thể phát triển trên cạn hoặc dưới nước.
159;#WFD2007;FALSE;Rising sea temperatures are a sign of climate change;Nhiệt độ biển tăng là một dấu hiệu của biến đổi khí hậu.
160;#WFD2008;FALSE;Scientists were unsure when the early men first left Africa;Các nhà khoa học đã không chắc chắn khi con người thời kỳ đầu lần đầu rời khỏi châu Phi.
161;#WFD2011;FALSE;The area has a variety of underwater habitats and species;Khu vực này có nhiều môi trường sống và loài sinh vật dưới nước đa dạng.
162;#WFD2018;FALSE;The printers automatically print on both sides of each page;Máy in tự động in trên cả hai mặt của mỗi trang.
163;#WFD2021;FALSE;A good abstract highlights the key points of your paper;Một bản tóm tắt tốt làm nổi bật các điểm chính của bài viết của bạn.
164;#WFD2028;FALSE;Certain scientific principles must be learned verbally or by logical deduction;Một số nguyên lý khoa học nhất định phải được học bằng lời nói hoặc bằng suy luận logic.
165;#WFD2030;FALSE;Collaboration between departments is a feature of successful companies;Sự hợp tác giữa các khoa/phòng ban là đặc điểm của các công ty thành công.
166;#WFD2042;FALSE;You need to make sure that all your essays are handed in on time;Bạn cần đảm bảo rằng tất cả các bài tiểu luận của mình được nộp đúng hạn.
167;#WFD2045;FALSE;More research is needed before any definitive conclusion can be drawn;Cần có thêm nghiên cứu trước khi có thể đưa ra bất kỳ kết luận chắc chắn nào.
168;#WFD2052;FALSE;Before attending classes, you must register online or by post.;Trước khi tham gia lớp học, bạn phải đăng ký trực tuyến hoặc qua đường bưu điện
169;#WFD2053;FALSE;Designers need to keep up with the social trends;Các nhà thiết kế cần bắt kịp các xu hướng xã hội.
170;#WFD2058;FALSE;The rise in sea level indicates climate change;Mực nước biển dâng cao cho thấy biến đổi khí hậu.
171;#WFD2065;FALSE;The university library cafe is on the third floor.;Quán cà phê của thư viện trường đại học nằm trên tầng ba.
172;#WFD2183;FALSE;The university auditorium is around the corner;Thính phòng của trường đại học nằm ngay ở góc đường.
173;#WFD2184;FALSE;The professor discussed the article yesterday in this class;Giáo sư đã thảo luận về bài báo đó trong lớp này vào hôm qua.
174;#WFD2185;FALSE;A university degree is required for entry into various professions.;Bằng đại học là yêu cầu bắt buộc để gia nhập nhiều ngành nghề khác nhau.
175;#WFD2186;FALSE;Preparation is important to avoid mishaps in the lab.;Việc chuẩn bị là rất quan trọng để tránh các sự cố trong phòng thí nghiệm.
176;#WFD2187;FALSE;Students are encouraged to monitor their studies by themselves;Học sinh được khuyến khích tự theo dõi việc học của mình.
177;#WFD2188;FALSE;You can find the complex form on the website.;Bạn có thể tìm thấy mẫu đơn phức tạp trên trang web.
